"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
0.009842531,7.168680873,,0.005740346,8.549188242,,,ESTRANGULADOR (1/64 in),14,,,0.005740346,,8.549188242,,0,,0,730.886196,-730.886196,,,,,,,,,
0.071058169,7.166392473,,0.074649017,8.540156605,,,"BOURDON LINEA, RANGO PSI",1000,,,0.074649017,7.166257526,8.540156605,,0.747484617,,1027.104938,729.3427484,297.7621901,,,,,,,,,
0.132323853,7.164090051,,0.123657531,8.541703344,,,"BOURDON CABEZA, RANGO PSI",2000,,,0.123657531,7.164415739,8.541703344,,0.746433712,,1026.577058,729.6069601,296.9700976,,,,,,,,,
0.187369541,7.150436075,,0.184885449,8.543651166,,,,,,,0.184885449,7.151052249,8.543651166,,0.740451078,,1022.750965,729.9397524,292.811213,,,,,,,,,
0.248859628,7.148070777,,0.254034101,8.534969126,,,,,,,0.254034101,7.148376485,8.534969126,,0.740882174,,1021.985727,728.4569799,293.5287475,,,,,,,,,
0.309585758,7.15165847,,0.322192405,8.53395697,,,,,,,0.322192405,7.150325557,8.53395697,,0.741884561,,1022.543111,728.2842156,294.2588958,,,,,,,,,
0.3795678,7.144259202,,0.378354408,8.531085943,,,,,,,0.378354408,7.144387495,8.531085943,,0.739897879,,1020.845454,727.7942736,293.05118,,,,,,,,,
0.449736368,7.136807672,,0.446572826,8.530047338,,,,,,,0.446572826,7.137143624,8.530047338,,0.737031858,,1018.776382,727.6170758,291.1593063,,,,,,,,,
0.510304196,7.141538766,,0.50277663,8.527470861,,,,,,,0.50277663,7.140950771,8.527470861,,0.739098619,,1019.863558,727.1775929,292.6859653,,,,,,,,,
0.564757813,7.138544554,,0.561584345,8.543926985,,,,,,,0.561584345,7.138719051,8.543926985,,0.735190508,,1019.226194,729.9868832,289.2393107,,,,,,,,,
0.634202275,7.137967453,,0.625026412,8.538300111,,,,,,,0.625026412,7.138043707,8.538300111,,0.735923492,,1019.033359,729.0256879,290.0076714,,,,,,,,,
0.688757712,7.134944712,,0.688578282,8.532624926,,,,,,,0.688578282,7.134954653,8.532624926,,0.735644167,,1018.151558,728.0568813,290.0946767,,,,,,,,,
0.768030787,7.125753303,,0.752204103,8.527165608,,,,,,,0.752204103,7.127588346,8.527165608,,0.733521537,,1016.050313,727.1255331,288.9247795,,,,,,,,,
0.812064126,7.137501766,,0.826249648,8.53369298,,,,,,,0.826249648,7.135923982,8.53369298,,0.735860514,,1018.428221,728.2391588,290.1890626,,,,,,,,,
0.875975964,7.130393173,,0.877434412,8.530760878,,,,,,,0.877434412,7.130230327,8.530760878,,0.733986912,,1016.80369,727.7388117,289.0648786,,,,,,,,,
0.940051777,7.123238636,,0.948634026,8.523937288,,,,,,,0.948634026,7.122332094,8.523937288,,0.731887302,,1014.552289,726.5750689,287.9772204,,,,,,,,,
1.004239655,7.116458481,,1.011053006,8.527066897,,,,,,,1.011053006,7.116359761,8.527066897,,0.728798051,,1012.851525,727.1086986,285.7428262,,,,,,,,,
1.067759934,7.115538119,,1.070103867,8.522479087,,,,,,,1.070103867,7.115503951,8.522479087,,0.729269528,,1012.607929,726.3264979,286.2814315,,,,,,,,,
1.131301285,7.114611853,,1.131497232,8.531749301,,,,,,,1.131497232,7.114608979,8.531749301,,0.727204836,,1012.353219,727.9074613,284.4457573,,,,,,,,,
1.19486392,7.113679624,,1.181810024,8.534884841,,,,,,,1.181810024,7.113871076,8.534884841,,0.726319584,,1012.143234,728.4425925,283.7006412,,,,,,,,,
1.258340846,7.113569307,,1.249768165,8.522499232,,,,,,,1.249768165,7.113584205,8.522499232,,0.728455231,,1012.061605,726.3299316,285.7316732,,,,,,,,,
1.3071702,7.11202911,,1.307981178,8.524812231,,,,,,,1.307981178,7.113772981,8.524812231,,0.728114754,,1012.11532,726.7242357,285.3910848,,,,,,,,,
1.377506222,7.263274818,,1.38552836,8.527961331,,,,,,,1.38552836,7.269444878,8.527961331,,0.792653509,,1056.896577,727.2612446,329.635332,,,,,,,,,
1.433838979,7.306601979,,1.433174224,8.522735555,,,,,,,1.433174224,7.306090697,8.522735555,,0.80865862,,1067.579225,726.3702134,341.2090121,,,,,,,,,
1.509216178,7.339046337,,1.509131027,8.512500684,,,,,,,1.509131027,7.339009686,8.512500684,,0.823847375,,1077.221263,724.626679,352.5945843,,,,,,,,,
1.557627181,7.360256916,,1.557409467,8.527550749,,,,,,,1.557409467,7.360161527,8.527550749,,0.830120704,,1083.439554,727.1912177,356.2483364,,,,,,,,,
1.628683335,7.38379962,,1.622171305,8.516276407,,,,,,,1.622171305,7.381642019,8.516276407,,0.840705523,,1089.772778,725.2696384,364.5031396,,,,,,,,,
1.699424722,7.406655645,,1.697141607,8.513875901,,,,,,,1.697141607,7.405917987,8.513875901,,0.850994462,,1096.952425,724.8608286,372.0915959,,,,,,,,,
1.757575682,7.419979825,,1.762864073,8.518894452,,,,,,,1.762864073,7.42269364,8.518894452,,0.857061337,,1101.927617,725.7156268,376.2119906,,,,,,,,,
1.804524645,7.444072365,,1.807295523,8.494566136,,,,,,,1.807295523,7.440694389,8.494566136,,0.86809159,,1107.27866,721.5765384,385.7021213,,,,,,,,,
1.883654354,7.347605372,,1.884595073,8.434103149,,,,,,,1.884595073,7.346793377,8.434103149,,0.839269464,,1079.507458,711.3409593,368.1664991,,,,,,,,,
1.946834006,7.293070975,,1.930207478,8.424508742,,,,,,,1.930207478,7.307422395,8.424508742,,0.824837071,,1067.968441,709.7234754,358.2449658,,,,,,,,,
