"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P
0.315169078,6.967937667,,0.012620792,8.532719094,,,,,0.315169078,6.967937667,8.560254721,,0.658553152,,971.0431067,732.779609,238.2634977
0.451107138,6.961057517,,0.071522211,8.54558121,,,,,0.451107138,6.961057517,8.553887615,,0.656829017,,969.1264352,731.6899333,237.436502
0.575866316,6.96006257,,0.130192432,8.558545049,,,,,0.575866316,6.96006257,8.556310796,,0.655898213,,968.8494196,732.1045444,236.7448751
0.632689267,6.960394601,,0.200360225,8.557624963,,,,,0.632689267,6.960394601,8.553186365,,0.656680843,,968.94186,731.5699699,237.3718901
0.700133241,6.964533603,,0.26201241,8.556271716,,,,,0.700133241,6.964533603,8.549460923,,0.659251892,,970.0945662,730.9328208,239.1617454
0.760681861,6.947341176,,0.322798392,8.560826383,,,,,0.760681861,6.947341176,8.547604491,,0.652087412,,965.3109884,730.6154254,234.695563
0.817120958,6.953988146,,0.387291972,8.549777973,,,,,0.817120958,6.953988146,8.565181538,,0.651404664,,967.1590226,733.6233478,233.5356749
0.888044305,6.94729596,,0.448050978,8.554344509,,,,,0.888044305,6.94729596,8.551132484,,0.651344757,,965.2984232,731.2186676,234.0797556
0.944351894,6.953968046,,0.512605873,8.544693594,,,,,0.944351894,6.953968046,8.554791083,,0.65352996,,967.1534316,731.8445047,235.3089269
1.010776232,6.966901602,,0.572233326,8.556510558,,,,,1.010776232,6.966901602,8.559420289,,0.658268106,,970.7543586,732.6367568,238.1176018
1.075652065,6.943949948,,0.635956137,8.553006734,,,,,1.075652065,6.943949948,8.557029319,,0.648657361,,964.3688176,732.2275077,232.1413099
1.136108067,6.938919586,,0.699747498,8.54947275,,,,,1.136108067,6.938919586,8.567852048,,0.644187267,,962.9721005,734.0808871,228.8912133
1.196659142,6.933871067,,0.763378289,8.547521818,,,,,1.196659142,6.933871067,8.559033448,,0.643788609,,961.5713594,732.5705357,229.0008237
1.262024447,6.95444393,,0.821461513,8.566607835,,,,,1.262024447,6.95444393,8.557321169,,0.653221078,,967.2858075,732.2774559,235.0083516
1.322004885,6.956138927,,0.881249881,8.550691715,,,,,1.322004885,6.956138927,8.561687126,,0.653071683,,967.7573754,733.0248644,234.7325111
1.387466487,6.940278489,,0.943908508,8.55475652,,,,,1.387466487,6.940278489,8.560162321,,0.646388014,,963.34931,732.7637897,230.5855204
1.447546375,6.941954492,,1.006380049,8.559626222,,,,,1.447546375,6.941954492,8.564591096,,0.646210086,,963.8146435,733.5222064,230.2924371
1.513362687,6.927497745,,1.072913371,8.556509554,,,,,1.513362687,6.927497745,8.562836108,,0.640169897,,959.8045002,733.2216222,226.5828781
1.573007449,6.935835073,,1.134203301,8.56814151,,,,,1.573007449,6.935835073,8.55506649,,0.645480876,,962.1161633,731.8916265,230.2245368
1.632497298,6.944201988,,1.193533537,8.55912526,,,,,1.632497298,6.944201988,8.566848247,,0.646735715,,964.4388249,733.9088889,230.529936
1.698138876,6.935524645,,1.259990848,8.557173144,,,,,1.698138876,6.935524645,8.558596836,,0.644611005,,962.0300421,732.495798,229.5342441
1.741754487,6.952499205,,1.325470726,8.561939403,,,,,1.741754487,6.952499205,8.568095659,,0.650145808,,966.7449039,734.1226322,232.6222717
1.822922182,7.127711845,,1.383988122,8.559905914,,,,,1.822922182,7.127711845,8.571464559,,0.725466215,,1016.085523,734.7000469,281.3854759
1.88826125,7.17180746,,1.449350081,8.564724056,,,,,1.88826125,7.17180746,8.563460922,,0.745654258,,1028.696445,733.3286297,295.3678151
1.952576898,7.216189826,,1.507749017,8.563620844,,,,,1.952576898,7.216189826,8.581534125,,0.761170238,,1041.467912,736.4272794,305.0406328
