 Fecha, Hora, Medicion de cabeza/diferencial, Fecha, Hora, Medicion de linea/estatica, Pres cabeza(psi)/pres diferencial(inH2O), Pres linea(psi)/pres estatica(psi), Gasto calculado (MMpcd)
" ""2022/4/17 0:4""", 0:4,2.597," ""2022/4/17 0:4""", 0:4,3.486,6.74210085,121.5471074,2.412915458
" ""2022/4/17 0:7""", 0:7,2.599," ""2022/4/17 0:7""", 0:7,3.477,6.755391451,120.8616665,2.408472648
" ""2022/4/17 0:12""", 0:12,2.58," ""2022/4/17 0:12""", 0:12,3.507,6.655680038,123.0247731,2.411929857
" ""2022/4/17 0:15""", 0:15,2.332," ""2022/4/17 0:15""", 0:15,3.463,5.439140129,119.9450526,2.152922829
" ""2022/4/17 0:19""", 0:19,2.266," ""2022/4/17 0:19""", 0:19,3.463,5.137017636,119.9282296,2.092128758
" ""2022/4/17 0:23""", 0:23,2.388," ""2022/4/17 0:23""", 0:23,3.487,5.704093275,121.5789773,2.219702248
" ""2022/4/17 0:26""", 0:26,2.4," ""2022/4/17 0:26""", 0:26,3.483,5.759027824,121.2979343,2.227785948
" ""2022/4/17 0:31""", 0:31,2.393," ""2022/4/17 0:31""", 0:31,3.479,5.726265641,121.0678374,2.219332165
" ""2022/4/17 0:34""", 0:34,2.413," ""2022/4/17 0:34""", 0:34,3.481,5.822725734,121.1972846,2.239142749
" ""2022/4/17 0:38""", 0:38,2.415," ""2022/4/17 0:38""", 0:38,3.484,5.831872191,121.3842285,2.242628306
" ""2022/4/17 0:41""", 0:41,2.492," ""2022/4/17 0:41""", 0:41,3.486,6.208680858,121.5258119,2.315293771
" ""2022/4/17 0:46""", 0:46,2.497," ""2022/4/17 0:46""", 0:46,3.457,6.237341426,119.5240226,2.301439321
" ""2022/4/17 0:49""", 0:49,2.522," ""2022/4/17 0:49""", 0:49,3.465,6.362983904,120.0456426,2.329570093
" ""2022/4/17 0:53""", 0:53,2.584," ""2022/4/17 0:53""", 0:53,3.476,6.678770706,120.8494209,2.394653732
" ""2022/4/17 0:56""", 0:56,2.56," ""2022/4/17 0:56""", 0:56,3.483,6.551330585,121.3277081,2.376385665
" ""2022/4/17 1:0""", 1:0,2.469," ""2022/4/17 1:0""", 1:0,3.495,6.097052208,122.158941,2.300354432
" ""2022/4/17 1:4""", 1:4,2.437," ""2022/4/17 1:4""", 1:4,3.484,5.940370389,121.3541694,2.263113226
" ""2022/4/17 1:8""", 1:8,2.464," ""2022/4/17 1:8""", 1:8,3.497,6.070003682,122.3152189,2.296713881
" ""2022/4/17 1:11""", 1:11,2.442," ""2022/4/17 1:11""", 1:11,3.484,5.965273623,121.4022126,2.268300848
" ""2022/4/17 1:15""", 1:15,2.353," ""2022/4/17 1:15""", 1:15,3.496,5.537488538,122.2015783,2.192638307
" ""2022/4/17 1:19""", 1:19,2.392," ""2022/4/17 1:19""", 1:19,3.488,5.719624948,121.6405639,2.223285102
" ""2022/4/17 1:22""", 1:22,2.378," ""2022/4/17 1:22""", 1:22,3.479,5.654303123,121.0421729,2.205109035
" ""2022/4/17 1:26""", 1:26,2.416," ""2022/4/17 1:26""", 1:26,3.499,5.838974154,122.412112,2.253474466
" ""2022/4/17 1:30""", 1:30,2.339," ""2022/4/17 1:30""", 1:30,3.491,5.472143805,121.8614723,2.176627596
" ""2022/4/17 1:35""", 1:35,2.39," ""2022/4/17 1:35""", 1:35,3.486,5.710043641,121.5260125,2.220375913
" ""2022/4/17 1:37""", 1:37,2.384," ""2022/4/17 1:37""", 1:37,3.483,5.681651611,121.3021877,2.212808272
" ""2022/4/17 1:42""", 1:42,2.375," ""2022/4/17 1:42""", 1:42,3.514,5.639091771,123.4835201,2.224237975
" ""2022/4/17 1:46""", 1:46,2.369," ""2022/4/17 1:46""", 1:46,3.512,5.612989382,123.3145225,2.217565175
" ""2022/4/17 1:48""", 1:48,2.43," ""2022/4/17 1:48""", 1:48,3.489,5.906453071,121.7659384,2.260468494
" ""2022/4/17 1:53""", 1:53,2.433," ""2022/4/17 1:53""", 1:53,3.51,5.920082186,123.2171173,2.276520469
" ""2022/4/17 1:57""", 1:57,2.436," ""2022/4/17 1:57""", 1:57,3.52,5.933766811,123.8978784,2.285437462
" ""2022/4/17 2:0""", 2:0,2.379," ""2022/4/17 2:0""", 2:0,3.497,5.657341234,122.2554817,2.216728616
" ""2022/4/17 2:4""", 2:4,2.452," ""2022/4/17 2:4""", 2:4,3.497,6.012457879,122.3056974,2.285712151
" ""2022/4/17 2:8""", 2:8,2.407," ""2022/4/17 2:8""", 2:8,3.509,5.795000386,123.1321257,2.251565538
" ""2022/4/17 2:12""", 2:12,2.422," ""2022/4/17 2:12""", 2:12,3.52,5.864754539,123.9331154,2.272431356
" ""2022/4/17 2:15""", 2:15,2.432," ""2022/4/17 2:15""", 2:15,3.528,5.913934572,124.5019384,2.287170199
" ""2022/4/17 2:19""", 2:19,2.399," ""2022/4/17 2:19""", 2:19,3.512,5.755947759,123.3694634,2.246127625
" ""2022/4/17 2:23""", 2:23,2.425," ""2022/4/17 2:23""", 2:23,3.532,5.881416431,124.7213167,2.282882077
" ""2022/4/17 2:26""", 2:26,2.443," ""2022/4/17 2:26""", 2:26,3.521,5.966015492,123.9955903,2.292542936
" ""2022/4/17 2:30""", 2:30,2.412," ""2022/4/17 2:30""", 2:30,3.531,5.815585704,124.6581484,2.269495028
" ""2022/4/17 2:34""", 2:34,2.449," ""2022/4/17 2:34""", 2:34,3.523,5.997642177,124.1492006,2.300034812
" ""2022/4/17 2:38""", 2:38,2.358," ""2022/4/17 2:38""", 2:38,3.544,5.559454334,125.5699119,2.22705554
" ""2022/4/17 2:42""", 2:42,2.337," ""2022/4/17 2:42""", 2:42,3.534,5.462186649,124.9240298,2.201802854
" ""2022/4/17 2:45""", 2:45,2.363," ""2022/4/17 2:45""", 2:45,3.528,5.581896657,124.4764473,2.221808672
" ""2022/4/17 2:49""", 2:49,2.411," ""2022/4/17 2:49""", 2:49,3.523,5.814313483,124.1115538,2.264266273
" ""2022/4/17 2:53""", 2:53,2.403," ""2022/4/17 2:53""", 2:53,3.519,5.774158544,123.8046884,2.253642724
" ""2022/4/17 2:56""", 2:56,2.436," ""2022/4/17 2:56""", 2:56,3.54,5.931767422,125.2940506,2.297891145
" ""2022/4/17 3:0""", 3:0,2.428," ""2022/4/17 3:0""", 3:0,3.521,5.897574758,123.9531137,2.2789648
" ""2022/4/17 3:4""", 3:4,2.432," ""2022/4/17 3:4""", 3:4,3.517,5.916920662,123.6707237,2.280097895
" ""2022/4/17 3:7""", 3:7,2.416," ""2022/4/17 3:7""", 3:7,3.52,5.839360746,123.8773781,2.266996371
" ""2022/4/17 3:12""", 3:12,2.42," ""2022/4/17 3:12""", 3:12,3.524,5.858572195,124.1694445,2.273397781
" ""2022/4/17 3:15""", 3:15,2.405," ""2022/4/17 3:15""", 3:15,3.516,5.786269508,123.6541453,2.254632892
" ""2022/4/17 3:19""", 3:19,2.422," ""2022/4/17 3:19""", 3:19,3.495,5.864519877,122.1305572,2.255799884
" ""2022/4/17 3:23""", 3:23,2.492," ""2022/4/17 3:23""", 3:23,3.505,6.212476438,122.8626718,2.328705262
" ""2022/4/17 3:25""", 3:25,2.462," ""2022/4/17 3:25""", 3:25,3.503,6.059286888,122.7337378,2.298607967
" ""2022/4/17 3:29""", 3:29,2.212," ""2022/4/17 3:29""", 3:29,3.485,4.892511722,121.4265105,2.054446632
" ""2022/4/17 3:34""", 3:34,2.107," ""2022/4/17 3:34""", 3:34,3.469,4.439383884,120.3656388,1.948429887
" ""2022/4/17 3:37""", 3:37,2.108," ""2022/4/17 3:37""", 3:37,3.482,4.443576957,121.2165888,1.956228364
" ""2022/4/17 3:40""", 3:40,2.109," ""2022/4/17 3:40""", 3:40,3.467,4.447781765,120.1705589,1.948690846
" ""2022/4/17 3:44""", 3:44,2.057," ""2022/4/17 3:44""", 3:44,3.458,4.230742149,119.5709425,1.895803298
" ""2022/4/17 3:49""", 3:49,2.096," ""2022/4/17 3:49""", 3:49,3.452,4.395141977,119.1440566,1.928833833
" ""2022/4/17 3:53""", 3:53,2.055," ""2022/4/17 3:53""", 3:53,3.419,4.223178018,116.8717469,1.872606953
" ""2022/4/17 3:56""", 3:56,2.361," ""2022/4/17 3:56""", 3:56,3.375,5.572271881,113.8931899,2.123426324
" ""2022/4/17 4:1""", 4:1,2.558," ""2022/4/17 4:1""", 4:1,3.368,6.545141988,113.4669044,2.297028106
" ""2022/4/17 4:4""", 4:4,2.574," ""2022/4/17 4:4""", 4:4,3.38,6.628003397,114.2340694,2.31932364
" ""2022/4/17 4:7""", 4:7,2.591," ""2022/4/17 4:7""", 4:7,3.364,6.71150882,113.1321619,2.322604672
" ""2022/4/17 4:10""", 4:10,2.565," ""2022/4/17 4:10""", 4:10,3.343,6.578568008,111.7275132,2.285166875
" ""2022/4/17 4:15""", 4:15,2.415," ""2022/4/17 4:15""", 4:15,3.348,5.833302686,112.1046207,2.155466028
" ""2022/4/17 4:17""", 4:17,2.406," ""2022/4/17 4:17""", 4:17,3.354,5.786777515,112.5005707,2.15064102
" ""2022/4/17 4:22""", 4:22,2.173," ""2022/4/17 4:22""", 4:22,3.352,4.720716135,112.3486154,1.941153927
" ""2022/4/17 4:26""", 4:26,2.153," ""2022/4/17 4:26""", 4:26,3.358,4.635470888,112.7566722,1.927037755
" ""2022/4/17 4:30""", 4:30,2.218," ""2022/4/17 4:30""", 4:30,3.354,4.918972634,112.5086445,1.982906877
" ""2022/4/17 4:34""", 4:34,2.209," ""2022/4/17 4:34""", 4:34,3.348,4.880704571,112.0811069,1.971422167
" ""2022/4/17 4:37""", 4:37,2.245," ""2022/4/17 4:37""", 4:37,3.372,5.03865783,113.7176404,2.017639273
" ""2022/4/17 4:42""", 4:42,2.276," ""2022/4/17 4:42""", 4:42,3.366,5.179926588,113.2814334,2.041800659
" ""2022/4/17 4:46""", 4:46,2.355," ""2022/4/17 4:46""", 4:46,3.365,5.544112799,113.2512098,2.112076398
" ""2022/4/17 4:48""", 4:48,2.398," ""2022/4/17 4:48""", 4:48,3.39,5.752583567,114.9127698,2.167144071
" ""2022/4/17 4:52""", 4:52,2.401," ""2022/4/17 4:52""", 4:52,3.369,5.765052889,113.4726392,2.155854246
" ""2022/4/17 4:55""", 4:55,2.445," ""2022/4/17 4:55""", 4:55,3.371,5.978340232,113.6305456,2.196898686
" ""2022/4/17 5:0""", 5:0,2.408," ""2022/4/17 5:0""", 5:0,3.377,5.79939008,114.0376677,2.167641681
" ""2022/4/17 5:3""", 5:3,2.46," ""2022/4/17 5:3""", 5:3,3.385,6.052552753,114.5765951,2.219675136
" ""2022/4/17 5:6""", 5:6,2.429," ""2022/4/17 5:6""", 5:6,3.394,5.897997705,115.2048672,2.197150888
" ""2022/4/17 5:11""", 5:11,2.404," ""2022/4/17 5:11""", 5:11,3.38,5.777759177,114.2776833,2.165871074
