"Pressure,psig",Solution Gas/Oil Ratio,"FVF,Bo",Oil Density
6500.000000,646.000000,1.431000,0.691900
6000.000000,646.000000,1.439000,0.688200
5500.000000,646.000000,1.447000,0.684300
5000.000000,646.000000,1.456000,0.680300
4500.000000,646.000000,1.465000,0.676000
4000.000000,646.000000,1.475000,0.671400
3500.000000,646.000000,1.486000,0.666500
3000.000000,646.000000,1.497000,0.661300
2500.000000,646.000000,1.510000,0.655600
2100.000000,646.000000,1.513000,0.654400
2300.000000,646.000000,1.516000,0.653100
2200.000000,646.000000,1.519000,0.651900
2100.000000,646.000000,1.522000,0.650600
2000.000000,646.000000,1.525000,0.649300
1936.000000,646.000000,1.527000,0.648400
1700.000000,564.000000,1.482000,0.657700
1500.000000,498.000000,1.446000,0.665000
1300.000000,434.000000,1.412000,0.672000
1100.000000,371.000000,1.379000,0.679000
900.000000,309.000000,1.346000,0.686300
700.000000,244.000000,1.311000,0.694400
500.000000,175.000000,1.271000,0.703900
300.000000,95.000000,1.220000,0.716100
185.000000,36.000000,1.178000,0.725600
120.000000,10.000000,1.146000,0.732800
